Time,Iteration,Cost,Parameters
  3.05924764  2.14779613  1.14217898 -1.10888362]
Sat Aug 24 19:41:55 2024,55,0.37530298874129947,[-2.702143    2.24577795 -2.14712967 -0.16087612  0.51093749 -2.77370221
  3.06284477  2.15139326  1.13858185 -1.11248075]
Sat Aug 24 19:43:35 2024,56,0.3699723735864936,[-2.69864325  2.24927769 -2.14362992 -0.16437586  0.51443724 -2.77720195
  3.05934502  2.14789351  1.1350821  -1.1159805 ]
Sat Aug 24 19:45:14 2024,57,0.3732091685923839,[-2.69488782  2.25303312 -2.14738535 -0.16062043  0.51819267 -2.77344653
  3.05558959  2.15164894  1.13883753 -1.11222507]
Sat Aug 24 19:46:54 2024,58,0.37415638360093234,[-2.69051166  2.24865696 -2.15176151 -0.16499659  0.51381651 -2.76907037
  3.05996575  2.1560251   1.13446137 -1.10784891]
Sat Aug 24 19:48:34 2024,59,0.3705045391501923,[-2.68492373  2.25424489 -2.15734944 -0.17058452  0.50822858 -2.76348244
  3.06555368  2.15043717  1.1400493  -1.10226098]
Sat Aug 24 19:50:14 2024,60,0.3696578381694435,[-2.68104927  2.25811935 -2.1612239  -0.16671006  0.51210304 -2.7673569
  3.06167922  2.14656271  1.14392376 -1.09838652]
Sat Aug 24 19:51:54 2024,61,0.372891697483531,[-2.67672016  2.25379024 -2.16555301 -0.16238095  0.51643215 -2.77168601
  3.05735011  2.1422336   1.14825288 -1.10271563]
Sat Aug 24 19:53:34 2024,62,0.3766278099344459,[-2.67230397  2.25820643 -2.16113682 -0.15796476  0.51201597 -2.7761022
  3.05293392  2.13781741  1.14383669 -1.10713182]
Sat Aug 24 19:55:14 2024,63,0.3644323976025599,[-2.66705483  2.26345557 -2.16638596 -0.1632139   0.50676683 -2.77085306
  3.04768478  2.14306655  1.13858755 -1.10188268]
Sat Aug 24 19:56:54 2024,64,0.3689965390483733,[-2.66253839  2.26797201 -2.16186952 -0.15869745  0.51128327 -2.76633661
  3.05220123  2.14758299  1.143104   -1.10639913]
Sat Aug 24 19:58:33 2024,65,0.36619251468823183,[-2.65838722  2.26382085 -2.15771835 -0.15454629  0.50713211 -2.76218545
  3.04805007  2.14343183  1.14725516 -1.10224797]
Sat Aug 24 20:00:13 2024,66,0.3646801458464765,[-2.65343423  2.25886786 -2.15276536 -0.1495933   0.50217912 -2.75723246
  3.05300306  2.14838483  1.15220816 -1.10720096]
Sat Aug 24 20:01:53 2024,67,0.36872147783848674,[-2.64822131  2.26408078 -2.15797828 -0.15480622  0.4969662  -2.75201954
  3.04779014  2.15359775  1.15742107 -1.10198804]
Sat Aug 24 20:03:33 2024,68,0.36592382621034286,[-2.64259865  2.26970343 -2.15235562 -0.16042887  0.50258886 -2.7576422
  3.04216748  2.14797509  1.15179842 -1.1076107 ]
Sat Aug 24 20:05:13 2024,69,0.3679866775244721,[-2.63779399  2.2745081  -2.15716028 -0.15562421  0.50739352 -2.75283753
  3.03736282  2.14317042  1.15660308 -1.11241536]
Sat Aug 24 20:06:53 2024,70,0.3664465810735602,[-2.63312413  2.27917796 -2.15249042 -0.15095435  0.50272366 -2.74816767
  3.03269296  2.13850056  1.15193322 -1.1077455 ]
Sat Aug 24 20:08:33 2024,71,0.36146590605904605,[-2.62770165  2.27375548 -2.14706794 -0.15637683  0.50814614 -2.74274519
  3.02727048  2.13307808  1.14651074 -1.10232302]
Sat Aug 24 20:10:12 2024,72,0.3608146317924406,[-2.62287584  2.26892967 -2.15189375 -0.15155102  0.51297195 -2.73791939
  3.02244467  2.12825228  1.14168493 -1.10714883]
Sat Aug 24 20:11:52 2024,73,0.36625583664067085,[-2.6177082   2.27409732 -2.1467261  -0.15671867  0.5078043  -2.73275174
  3.01727702  2.13341993  1.14685258 -1.10198118]
Sat Aug 24 20:13:32 2024,74,0.3645378555310334,[-2.61404886  2.27775666 -2.14306676 -0.15305933  0.51146364 -2.73641108
  3.01361769  2.13707926  1.14319324 -1.09832184]
Sat Aug 24 20:15:13 2024,75,0.36319538857331474,[-2.6099786   2.28182691 -2.14713702 -0.15712959  0.51553389 -2.73234082
  3.00954743  2.13300901  1.1472635  -1.09425159]
Sat Aug 24 20:16:53 2024,76,0.3577901015222618,[-2.60609036  2.27793867 -2.15102526 -0.16101783  0.51942214 -2.73622907
  3.00565919  2.13689725  1.14337525 -1.09036334]
Sat Aug 24 20:18:33 2024,77,0.36086312088980865,[-2.6009482   2.27279651 -2.15616742 -0.16615999  0.51427998 -2.74137122
