Time,Iteration,Cost,Parameters
Sat Aug 24 20:06:19 2024,67,0.2247618926571194,[-1.72335411  2.13873186 -2.13944546 -0.03934797  0.42713905 -2.64874071
  3.03054294  2.13406425  1.0084998  -0.98836548]
Sat Aug 24 20:08:03 2024,68,0.22728969422510326,[-1.71631585  2.1316936  -2.13240719 -0.04638624  0.43417732 -2.65577898
  3.0375812   2.12702598  1.01553806 -0.98132721]
Sat Aug 24 20:09:47 2024,69,0.22419967441311636,[-1.709458    2.12483575 -2.12554934 -0.03952839  0.44103517 -2.64892113
  3.03072335  2.13388383  1.00868021 -0.98818506]
Sat Aug 24 20:11:31 2024,70,0.22263935539434157,[-1.70245611  2.13183763 -2.11854746 -0.04653027  0.43403329 -2.64191924
  3.03772523  2.12688195  1.00167833 -0.98118318]
Sat Aug 24 20:13:15 2024,71,0.220683197947,[-1.6966123   2.13768144 -2.12439127 -0.04068646  0.4398771  -2.64776306
  3.03188142  2.12103814  1.00752214 -0.97533937]
Sat Aug 24 20:14:58 2024,72,0.21801580691088607,[-1.69191117  2.1329803  -2.11969014 -0.04538759  0.44457823 -2.65246419
  3.03658255  2.11633701  1.00282101 -0.98004051]
Sat Aug 24 20:16:43 2024,73,0.22151372461264224,[-1.68716459  2.13772688 -2.12443672 -0.04064101  0.44932481 -2.64771761
  3.03183597  2.12108359  1.00756759 -0.98478708]
Sat Aug 24 20:18:27 2024,74,0.22173495556502157,[-1.68185176  2.13241405 -2.11912389 -0.04595384  0.45463764 -2.64240478
  3.03714881  2.11577075  1.00225476 -0.97947425]
Sat Aug 24 20:20:11 2024,75,0.22500062331720436,[-1.67617764  2.13808817 -2.11344977 -0.04027973  0.44896352 -2.6480789
  3.03147469  2.12144487  1.00792887 -0.97380013]
Sat Aug 24 20:21:55 2024,76,0.21725853272217768,[-1.67113699  2.14312882 -2.11849042 -0.04532038  0.44392287 -2.65311955
  3.03651534  2.12648552  1.01296953 -0.97884079]
Sat Aug 24 20:23:39 2024,77,0.2176362199762254,[-1.66761599  2.13960782 -2.11496942 -0.04179938  0.44040187 -2.64959856
  3.03299434  2.13000652  1.00944853 -0.98236178]
Sat Aug 24 20:25:23 2024,78,0.21514693037475063,[-1.66399041  2.13598224 -2.11859501 -0.04542496  0.44402745 -2.64597298
  3.02936876  2.12638094  1.00582295 -0.9787362 ]
Sat Aug 24 20:27:08 2024,79,0.2164126737471662,[-1.65982325  2.13181508 -2.12276217 -0.0412578   0.43986029 -2.64180581
  3.03353593  2.1305481   1.00165579 -0.98290336]
Sat Aug 24 20:28:52 2024,80,0.2122676645630002,[-1.65549359  2.13614473 -2.11843251 -0.03692814  0.44418995 -2.63747616
  3.03786558  2.13487776  0.99732613 -0.97857371]
Sat Aug 24 20:30:36 2024,81,0.2134453020634893,[-1.6507138   2.14092453 -2.1232123  -0.04170794  0.43941016 -2.64225595
  3.03308579  2.13965755  1.00210592 -0.97379392]
Sat Aug 24 20:32:20 2024,82,0.21747977878868452,[-1.64726968  2.1374804  -2.11976818 -0.03826381  0.43596603 -2.64570007
  3.02964167  2.13621343  1.00555004 -0.9703498 ]
Sat Aug 24 20:34:04 2024,83,0.2150874650126315,[-1.64212213  2.13233286 -2.11462064 -0.04341136  0.44111358 -2.64055252
  3.02449413  2.13106588  1.01069759 -0.96520225]
Sat Aug 24 20:35:47 2024,84,0.213603888196414,[-1.63770508  2.13674992 -2.11020358 -0.0389943   0.43669652 -2.64496958
  3.02891118  2.13548294  1.01511465 -0.96961931]
Sat Aug 24 20:37:31 2024,85,0.21033508245355212,[-1.63386432  2.14059067 -2.10636282 -0.04283506  0.44053728 -2.64881034
  3.03275194  2.1393237   1.0189554  -0.96577855]
Sat Aug 24 20:39:15 2024,86,0.2096073576211463,[-1.62925955  2.14519545 -2.1109676  -0.04743983  0.4359325  -2.65341511
  3.02814716  2.13471892  1.01435063 -0.97038333]
Sat Aug 24 20:40:59 2024,87,0.21147383925899793,[-1.6256207   2.14883429 -2.10732875 -0.04380099  0.43957135 -2.64977627
  3.02450832  2.13108008  1.01798947 -0.96674448]
Sat Aug 24 20:42:43 2024,88,0.2098811416317697,[-1.62212074  2.14533433 -2.11082871 -0.04030103  0.43607139 -2.65327622
  3.02800828  2.13458004  1.01448951 -0.96324453]
Sat Aug 24 20:44:28 2024,89,0.2128410789051872,[-1.61865152  2.14186511 -2.10735949 -0.04377025  0.43954061 -2.649807
  3.0314775   2.13804926  1.01102029 -0.9597753 ]
Sat Aug 24 20:46:12 2024,90,0.20950450774883714,[-1.61574573  2.13895932 -2.11026527 -0.04086447  0.43663483 -2.65271279
  3.02857172  2.14095505  1.01392608 -0.96268109]
Sat Aug 24 20:47:57 2024,91,0.2112886701813669,[-1.61257324  2.13578683 -2.11343776 -0.04403696  0.43980732 -2.65588528
  3.02539923  2.13778256  1.01075359 -0.96585358]
Sat Aug 24 20:49:42 2024,92,0.21463263892453524,[-1.61016087  2.13819919 -2.1110254  -0.04162459  0.43739495 -2.65829764
  3.02781159  2.14019493  1.01316595 -0.96826594]
Sat Aug 24 20:51:26 2024,93,0.21151521658821615,[-1.6072507   2.14110937 -2.10811522 -0.03871441  0.44030513 -2.66120782
  3.03072177  2.1431051   1.01607613 -0.97117612]
Sat Aug 24 20:53:11 2024,94,0.2114559358643317,[-1.60499707  2.14336299 -2.1058616  -0.03646079  0.44255875 -2.66346144
  3.02846815  2.14085148  1.01832975 -0.9689225 ]
Sat Aug 24 20:54:55 2024,95,0.2102908468068021,[-1.60294816  2.14541191 -2.10791051 -0.03441188  0.44050984 -2.66551035
  3.02641923  2.14290039  1.02037866 -0.97097141]
Sat Aug 24 20:56:40 2024,96,0.20944208580901347,[-1.59962658  2.14873349 -2.11123209 -0.0310903   0.43718826 -2.66883193
  3.02309766  2.13957882  1.02370024 -0.96764983]
Sat Aug 24 20:58:24 2024,97,0.21465450849514753,[-1.59753084  2.15082923 -2.11332783 -0.02899456  0.439284   -2.67092767
  3.02100192  2.14167456  1.0216045  -0.96974557]
Sat Aug 24 21:00:08 2024,98,0.21018696315114815,[-1.59577689  2.14907527 -2.11508178 -0.03074851  0.43753005 -2.66917372
  3.01924796  2.1399206   1.01985055 -0.97149953]
Sat Aug 24 21:01:52 2024,99,0.20968980183226568,[-1.59479197  2.14809035 -2.11409686 -0.02976359  0.43851497 -2.6681888
  3.02023289  2.14090553  1.01886563 -0.97248445]
Sat Aug 24 21:03:36 2024,100,0.20595716094567545,[-1.59225627  2.15062605 -2.11663255 -0.02722789  0.44105067 -2.67072449
  3.02276858  2.14344122  1.01632993 -0.97502014]
Sat Aug 24 21:05:21 2024,101,0.20717607800381138,[-1.59016899  2.15271333 -2.11454527 -0.02931517  0.43896338 -2.66863721
  3.0206813   2.14135394  1.01841721 -0.97710742]
Sat Aug 24 21:07:05 2024,102,0.20954349878503356,[-1.58875188  2.15129621 -2.11312816 -0.02789806  0.4403805  -2.67005433
  3.01926418  2.14277106  1.01983433 -0.97569031]
Sat Aug 24 21:08:49 2024,103,0.2112865245167496,[-1.58731502  2.14985935 -2.11169129 -0.0264612   0.43894364 -2.67149119
  3.02070105  2.14420792  1.01839747 -0.97425345]
Sat Aug 24 21:10:32 2024,104,0.20979807257486832,[-1.5858371   2.15133726 -2.11316921 -0.02793911  0.43746573 -2.6729691
  3.01922313  2.14273001  1.01987538 -0.97573136]
Sat Aug 24 21:12:16 2024,105,0.20958211689781245,[-1.58539024  2.15178412 -2.11272235 -0.02838597  0.43701887 -2.67252224
  3.01877627  2.14228315  1.01942852 -0.9752845 ]
Sat Aug 24 21:14:00 2024,106,0.2080670209204036,[-1.58327806  2.14967193 -2.11061016 -0.02627378  0.43490668 -2.67041005
  3.01666409  2.14439533  1.01731633 -0.97739669]
Sat Aug 24 21:15:43 2024,107,0.20773625786095357,[-1.58148483  2.15146516 -2.10881693 -0.02806701  0.43669991 -2.66861682
  3.01845732  2.1426021   1.01910956 -0.97560346]
Sat Aug 24 21:17:28 2024,108,0.21102503130472394,[-1.57914904  2.15380095 -2.10648114 -0.02573123  0.4390357  -2.67095261
  3.0207931   2.14026632  1.02144535 -0.97326767]
Sat Aug 24 21:19:13 2024,109,0.21419813517441796,[-1.57704787  2.15169978 -2.10437998 -0.0278324   0.44113686 -2.66885144
