Time,Iteration,Cost,Parameters
Sun Aug 25 01:11:45 2024,88,0.17705622152575348,[-2.92684249  2.23644085 -2.13309648 -0.11732563  0.55430875]
Sun Aug 25 01:12:57 2024,89,0.17122737375243777,[-2.9264301   2.23602846 -2.13350887 -0.11773802  0.55389637]
Sun Aug 25 01:14:09 2024,90,0.1737114797829575,[-2.92683104  2.2364294  -2.13310793 -0.11733708  0.55429731]
Sun Aug 25 01:15:22 2024,91,0.17829874000369716,[-2.92778983  2.23738819 -2.13214914 -0.11637829  0.5552561 ]
Sun Aug 25 01:16:35 2024,92,0.17576989201070373,[-2.92727422  2.23687257 -2.13163353 -0.1168939   0.55474048]
Sun Aug 25 01:17:48 2024,93,0.1771084051164555,[-2.92716386  2.23698293 -2.13152317 -0.11700426  0.55463013]
Sun Aug 25 01:19:01 2024,94,0.1760314923014833,[-2.92737798  2.23719705 -2.13173729 -0.11721838  0.55441601]
Sun Aug 25 01:20:13 2024,95,0.1740759990923888,[-2.92801623  2.2365588  -2.13237554 -0.11785663  0.55505426]
Sun Aug 25 01:21:26 2024,96,0.17717966599743715,[-2.92770033  2.23624289 -2.13205964 -0.11754073  0.55473835]
Sun Aug 25 01:22:38 2024,97,0.17824655680664314,[-2.92706383  2.23560639 -2.13269614 -0.11690423  0.55537485]
Sun Aug 25 01:23:51 2024,98,0.1745529803687141,[-2.9280583   2.23461193 -2.13170167 -0.11789869  0.55438039]
Sun Aug 25 01:25:03 2024,99,0.1744097776704967,[-2.92820664  2.23446358 -2.13155332 -0.11775035  0.55452873]
Sun Aug 25 01:26:16 2024,100,0.1769348424084143,[-2.92796141  2.23421835 -2.13179856 -0.11799558  0.5542835 ]
Sun Aug 25 01:27:28 2024,101,0.17589473574968936,[-2.92799229  2.23418746 -2.13176768 -0.1179647   0.55431438]
Sun Aug 25 01:28:41 2024,102,0.17637961564722487,[-2.92745184  2.23364701 -2.13230813 -0.11742425  0.55485483]
Sun Aug 25 01:29:53 2024,103,0.17244932874404179,[-2.92789482  2.23320404 -2.13186515 -0.11698127  0.55529781]
Sun Aug 25 01:31:05 2024,104,0.17524546115192155,[-2.92751769  2.23282691 -2.13224228 -0.1173584   0.55492068]
Sun Aug 25 01:32:18 2024,105,0.17925460595265316,[-2.928796    2.23410522 -2.1335206  -0.11863672  0.55364236]
Sun Aug 25 01:33:30 2024,106,0.1719858406867545,[-2.92861236  2.23428886 -2.13333696 -0.11882036  0.55345872]
Sun Aug 25 01:34:42 2024,107,0.17595118721248507,[-2.92802411  2.23370061 -2.13392522 -0.11940861  0.55404698]
Sun Aug 25 01:35:54 2024,108,0.1748162342930378,[-2.9278288   2.23350529 -2.13412053 -0.11960392  0.55385167]
Sun Aug 25 01:37:06 2024,109,0.17215062760333846,[-2.92857569  2.2327584  -2.13486742 -0.12035082  0.55459856]
Sun Aug 25 01:38:19 2024,110,0.17797404233872827,[-2.92824143  2.23242415 -2.13520167 -0.12001656  0.55493281]
Sun Aug 25 01:39:31 2024,111,0.1774483770236477,[-2.92895083  2.23171475 -2.13591107 -0.11930716  0.55564221]
Sun Aug 25 01:40:43 2024,112,0.17407474098876213,[-2.92941704  2.23218096 -2.13544486 -0.11977337  0.555176  ]
Sun Aug 25 01:41:55 2024,113,0.1790057296966199,[-2.92997966  2.23161834 -2.13600748 -0.12033599  0.55573862]
Sun Aug 25 01:43:07 2024,114,0.17500798641995496,[-2.92998446  2.23161355 -2.13600268 -0.12034078  0.55573382]
Sun Aug 25 01:44:19 2024,115,0.17665459650006504,[-2.92984643  2.23175157 -2.13614071 -0.12047881  0.55587185]
Sun Aug 25 01:45:32 2024,116,0.17535358197509437,[-2.93016417  2.23143384 -2.13645844 -0.12079655  0.55618958]
Sun Aug 25 01:46:44 2024,117,0.1763979184040406,[-2.93012469  2.23139436 -2.13649792 -0.12083602  0.55615011]
Sun Aug 25 01:47:56 2024,118,0.17779200924734853,[-2.92997811  2.23154094 -2.1366445  -0.1209826   0.55629669]
Sun Aug 25 01:49:08 2024,119,0.17381215170751815,[-2.92986259  2.23165646 -2.13652898 -0.12109813  0.55618117]
Sun Aug 25 01:50:20 2024,120,0.1738484479100338,[-2.92985868  2.23165256 -2.13653288 -0.12110203  0.55618507]
Sun Aug 25 01:51:33 2024,121,0.17651309917536137,[-2.92942784  2.23122171 -2.13610204 -0.12153287  0.55575422]
Sun Aug 25 01:52:45 2024,122,0.1757027210499453,[-2.92976803  2.23088152 -2.13576185 -0.12187307  0.55609442]
Sun Aug 25 01:53:58 2024,123,0.18192570070756467,[-2.92973642  2.23084991 -2.13579346 -0.12190467  0.55612603]
Sun Aug 25 01:55:10 2024,124,0.17888123608919318,[-2.93015823  2.23042811 -2.13537165 -0.12148287  0.55570422]
Sun Aug 25 01:56:23 2024,125,0.17545240073033408,[-2.93042075  2.23016558 -2.13510913 -0.12122034  0.55596675]
Sun Aug 25 01:57:35 2024,126,0.17710754583863855,[-2.93005889  2.22980372 -2.13547099 -0.12158221  0.55560489]
Sun Aug 25 01:58:48 2024,127,0.1758201830856382,[-2.92953212  2.22927695 -2.13494422 -0.12210898  0.55613165]
Sun Aug 25 02:00:00 2024,128,0.1754712070433313,[-2.93028161  2.23002644 -2.13419474 -0.12135949  0.55688114]
Sun Aug 25 02:01:12 2024,129,0.1709500958849236,[-2.93012291  2.23018514 -2.13403603 -0.12120079  0.55703984]
Sun Aug 25 02:02:24 2024,130,0.17447055159078334,[-2.93006613  2.23012837 -2.13397926 -0.12114401  0.55698307]
Sun Aug 25 02:03:36 2024,131,0.17433946227959518,[-2.92994264  2.23025186 -2.13385577 -0.1212675   0.55685958]
Sun Aug 25 02:04:48 2024,132,0.17759891678599307,[-2.93023992  2.22995458 -2.13415305 -0.12097023  0.5565623 ]
Sun Aug 25 02:06:00 2024,133,0.17968099361019624,[-2.93052555  2.22966895 -2.13443867 -0.1206846   0.55627668]
Sun Aug 25 02:07:12 2024,134,0.17442182977764578,[-2.93058669  2.22973009 -2.13437754 -0.12062346  0.55621554]
Sun Aug 25 02:08:24 2024,135,0.17485092185912343,[-2.93117379  2.22914299 -2.13496464 -0.12003635  0.55680264]
Sun Aug 25 02:09:37 2024,136,0.1768555150368711,[-2.93197072  2.22993991 -2.13416772 -0.12083328  0.55600572]
Sun Aug 25 02:10:49 2024,137,0.17190523203216052,[-2.93169078  2.22965998 -2.13444765 -0.12055334  0.55572578]
Sun Aug 25 02:12:01 2024,138,0.1769651623679609,[-2.93105492  2.22902412 -2.13508351 -0.11991749  0.55636164]
Sun Aug 25 02:13:13 2024,139,0.18118005652607516,[-2.93121406  2.22918326 -2.13524265 -0.11975835  0.55652078]
Sun Aug 25 02:14:25 2024,140,0.17860550043841208,[-2.93187426  2.22852306 -2.13458245 -0.11909815  0.55586058]
Sun Aug 25 02:15:37 2024,141,0.17681713663970633,[-2.93205221  2.22834511 -2.1344045  -0.1192761   0.55568263]
