Time,Iteration,Cost,Parameters
Sat Aug 24 23:57:35 2024,104,0.16123732714349354,[-1.47943256  2.36116802 -2.158107   -0.15185922  0.52858561]
Sat Aug 24 23:58:31 2024,105,0.158532273386514,[-1.4777011   2.36289948 -2.15983846 -0.15012776  0.52685414]
Sat Aug 24 23:59:28 2024,106,0.1577248934405381,[-1.47596685  2.36463373 -2.1581042  -0.15186201  0.5285884 ]
Sun Aug 25 00:00:25 2024,107,0.16619942053091222,[-1.47396854  2.36663204 -2.1561059  -0.15386031  0.5305867 ]
Sun Aug 25 00:01:21 2024,108,0.16525998914171314,[-1.47165926  2.36894132 -2.15379662 -0.1561696   0.53289598]
Sun Aug 25 00:02:18 2024,109,0.16606127461241113,[-1.47022923  2.37037135 -2.15236659 -0.15759962  0.53146595]
Sun Aug 25 00:03:14 2024,110,0.1585970768021526,[-1.46869804  2.37190254 -2.1508354  -0.15606843  0.53299715]
Sun Aug 25 00:04:11 2024,111,0.1619517533849018,[-1.46789709  2.3711016  -2.15163634 -0.15526748  0.53219621]
Sun Aug 25 00:05:07 2024,112,0.1611523321909332,[-1.46712062  2.37187807 -2.15085987 -0.15449101  0.53141974]
Sun Aug 25 00:06:04 2024,113,0.16219897829396354,[-1.46609899  2.3728997  -2.1518815  -0.15346938  0.53039811]
Sun Aug 25 00:07:00 2024,114,0.15877843760641303,[-1.46448637  2.37128708 -2.15026888 -0.15185676  0.52878549]
Sun Aug 25 00:07:57 2024,115,0.16220061010165573,[-1.4633504   2.37242305 -2.14913291 -0.15299273  0.52992146]
Sun Aug 25 00:08:53 2024,116,0.16463807662553717,[-1.46263326  2.37170591 -2.14841577 -0.1522756   0.52920432]
Sun Aug 25 00:09:50 2024,117,0.1632442496922664,[-1.46161562  2.37068827 -2.14943342 -0.15125795  0.53022196]
Sun Aug 25 00:10:46 2024,118,0.1605171853019844,[-1.46020709  2.36927973 -2.15084195 -0.14984942  0.5316305 ]
Sun Aug 25 00:11:43 2024,119,0.1585075161554146,[-1.45807788  2.36715053 -2.14871275 -0.14772021  0.52950129]
Sun Aug 25 00:12:40 2024,120,0.16321278276487006,[-1.45694722  2.36601986 -2.14984341 -0.14658955  0.53063196]
Sun Aug 25 00:13:36 2024,121,0.16076672535367326,[-1.45690375  2.36606333 -2.14988688 -0.14663302  0.53058849]
Sun Aug 25 00:14:32 2024,122,0.16092464493889164,[-1.45570131  2.3648609  -2.15108931 -0.14783545  0.52938605]
Sun Aug 25 00:15:29 2024,123,0.16207025045682374,[-1.4545899   2.36374948 -2.1499779  -0.14894687  0.53049747]
Sun Aug 25 00:16:26 2024,124,0.16145935082114857,[-1.45362082  2.36471856 -2.15094698 -0.14991595  0.53146655]
Sun Aug 25 00:17:22 2024,125,0.15893911390626145,[-1.45262009  2.36371783 -2.1519477  -0.15091668  0.53046582]
Sun Aug 25 00:18:19 2024,126,0.16221458922833237,[-1.45131627  2.36502166 -2.15064388 -0.1522205   0.53176964]
Sun Aug 25 00:19:15 2024,127,0.16286044586959883,[-1.45074857  2.36558935 -2.15007619 -0.15278819  0.53233734]
Sun Aug 25 00:20:12 2024,128,0.15855379114225193,[-1.44981684  2.36465762 -2.14914445 -0.15371993  0.53326907]
Sun Aug 25 00:21:09 2024,129,0.16328223031287079,[-1.44833897  2.36317975 -2.14766658 -0.15224206  0.53179121]
Sun Aug 25 00:22:05 2024,130,0.16209291855834865,[-1.44747901  2.36403971 -2.14680662 -0.1513821   0.53265117]
Sun Aug 25 00:23:02 2024,131,0.15976058756534117,[-1.44709208  2.36442664 -2.14719355 -0.15176903  0.53226424]
Sun Aug 25 00:23:59 2024,132,0.16363875279869292,[-1.44542623  2.3627608  -2.1488594  -0.15010318  0.53393009]
Sun Aug 25 00:24:56 2024,133,0.16032497988810496,[-1.44463943  2.36354759 -2.1480726  -0.15088998  0.53314329]
