Time,Iteration,Cost,Parameters
Sun Aug 25 02:00:45 2024,73,0.3958204971184137,[-2.59769781  2.22961421 -2.21685666 -0.14022295  0.53843333 -2.80775855
  3.06466287  2.15141105  1.15569615 -1.09189036]
Sun Aug 25 02:02:35 2024,74,0.3903473294282008,[-2.59152699  2.22344339 -2.22302748 -0.14639378  0.5322625  -2.81392937
  3.05849205  2.14524023  1.14952533 -1.09806118]
Sun Aug 25 02:04:25 2024,75,0.39641750283708754,[-2.58478315  2.21669955 -2.22977132 -0.15313762  0.53900635 -2.80718553
  3.06523589  2.13849639  1.14278149 -1.10480502]
Sun Aug 25 02:06:15 2024,76,0.39107654729173597,[-2.57880323  2.22267947 -2.23575124 -0.15911754  0.53302643 -2.81316545
  3.05925597  2.13251647  1.13680157 -1.11078494]
Sun Aug 25 02:08:04 2024,77,0.38748920791309793,[-2.57259195  2.21646819 -2.22953996 -0.16532882  0.53923771 -2.81937673
  3.06546725  2.12630519  1.14301285 -1.10457366]
Sun Aug 25 02:09:54 2024,78,0.39262152879133155,[-2.56519925  2.20907549 -2.23693266 -0.15793611  0.53184501 -2.82676943
  3.07285995  2.11891249  1.13562015 -1.11196636]
Sun Aug 25 02:11:44 2024,79,0.3870917404928794,[-2.55902811  2.20290435 -2.24310379 -0.15176498  0.53801614 -2.83294057
  3.06668882  2.11274135  1.14179129 -1.11813749]
Sun Aug 25 02:13:34 2024,80,0.3838569542766167,[-2.55263548  2.19651172 -2.24949643 -0.14537235  0.53162351 -2.82654794
  3.07308145  2.10634872  1.13539865 -1.12453013]
Sun Aug 25 02:15:24 2024,81,0.38181886390099784,[-2.54579848  2.20334872 -2.25633343 -0.15220935  0.53846051 -2.81971093
  3.07991845  2.09951172  1.14223566 -1.13136713]
Sun Aug 25 02:17:12 2024,82,0.38454127948025785,[-2.53991406  2.1974643  -2.25044901 -0.14632493  0.53257609 -2.82559535
  3.08580287  2.10539614  1.13635124 -1.12548271]
Sun Aug 25 02:19:00 2024,83,0.3810630418467841,[-2.53317737  2.19072762 -2.2571857  -0.13958824  0.52583941 -2.81885867
  3.07906619  2.09865945  1.14308792 -1.1322194 ]
Sun Aug 25 02:20:49 2024,84,0.3781919115289784,[-2.52674666  2.1842969  -2.26361641 -0.13315753  0.53227012 -2.82528938
  3.07263547  2.09222874  1.13665721 -1.13865011]
Sun Aug 25 02:22:38 2024,85,0.37580754494940993,[-2.5199066   2.19113696 -2.27045647 -0.13999759  0.53911018 -2.83212944
  3.07947553  2.08538868  1.14349727 -1.14549017]
Sun Aug 25 02:24:27 2024,86,0.3812120417855022,[-2.51272737  2.19831619 -2.26327724 -0.14717682  0.53193095 -2.82495021
  3.08665476  2.07820945  1.1506765  -1.13831094]
Sun Aug 25 02:26:15 2024,87,0.37428671528272944,[-2.50595594  2.20508762 -2.25650581 -0.15394825  0.52515952 -2.83172164
  3.09342619  2.07143802  1.15744793 -1.13153951]
Sun Aug 25 02:28:03 2024,88,0.3737621444026517,[-2.49879735  2.19792903 -2.26366439 -0.16110684  0.51800093 -2.82456306
  3.10058478  2.06427943  1.16460652 -1.12438092]
Sun Aug 25 02:29:52 2024,89,0.37266941475632265,[-2.4920518   2.19118349 -2.25691885 -0.16785239  0.52474648 -2.81781751
  3.10733033  2.05753388  1.15786097 -1.13112646]
