Time,Iteration,Cost,Parameters
  9.41708004e-01 -1.53023949e+00 -3.96773477e-01  2.46439840e+00
 -1.99169130e-02  7.18328630e-01  2.86478489e+00  1.01718564e+00
  3.07363748e+00  2.96800310e+00  2.90503293e+00 -2.81085510e+00
  5.06026808e-02 -3.17282428e-01  1.46062322e+00  2.81344544e+00
 -4.50782501e-01 -2.33455052e+00  2.43043986e+00 -3.06349921e+00
  7.03193905e-01 -6.04783545e-01 -1.86214049e+00  2.67403317e+00
 -1.85969885e+00 -1.64626227e+00 -2.52715831e+00  2.16771855e+00
 -2.23958276e+00  2.17745644e+00  2.21422064e+00  1.68729025e+00
  2.34861242e+00  2.86830836e+00  1.63836566e+00  1.70738410e+00
 -1.91657995e+00 -2.18612568e+00  1.26289002e+00]
Sat Nov 23 15:28:07 2024,1289,0.020636662686428362,[-3.00939883e+00  2.35958995e+00 -2.21064238e+00 -1.62218441e-01
  6.04851423e-01 -2.79795034e+00  3.11652129e+00  2.13609211e+00
  9.80977856e-01 -9.48598124e-01  6.79941148e-01  9.10621404e-01
  1.32667794e+00 -1.91304469e+00  1.04114391e+00  2.92258698e+00
 -3.76005263e-01 -3.64921868e-01 -1.92331628e+00  8.68639921e-01
  1.81001320e+00  2.75718181e+00 -1.15764741e+00 -3.21861534e-01
 -2.44826829e+00 -2.19734321e+00  3.13341097e+00  2.44580777e+00
 -7.52986365e-01 -2.83862978e+00  1.40095666e+00 -2.61592854e-03
 -2.41051447e+00  2.19518796e+00  1.53239625e+00 -6.39099058e-01
  9.44565697e-01 -1.52738180e+00 -3.99631170e-01  2.46154071e+00
 -2.27746058e-02  7.21186323e-01  2.86764258e+00  1.01432795e+00
  3.07649517e+00  2.97086079e+00  2.90217524e+00 -2.80799741e+00
  4.77449880e-02 -3.20140121e-01  1.46348091e+00  2.81058774e+00
 -4.53640194e-01 -2.33740821e+00  2.42758216e+00 -3.06064152e+00
  7.06051598e-01 -6.01925852e-01 -1.86499819e+00  2.67117548e+00
 -1.85684116e+00 -1.64340458e+00 -2.53001601e+00  2.16486086e+00
 -2.23672506e+00  2.18031413e+00  2.21136295e+00  1.69014794e+00
  2.35147011e+00  2.86545066e+00  1.64122336e+00  1.70452641e+00
 -1.91943764e+00 -2.18326799e+00  1.26003233e+00]
Sat Nov 23 15:39:00 2024,1290,0.022017337229549985,[-3.00558063e+00  2.35577176e+00 -2.21446057e+00 -1.58400247e-01
  6.01033229e-01 -2.80176854e+00  3.12033948e+00  2.13991030e+00
  9.84796050e-01 -9.52416318e-01  6.76122954e-01  9.14439597e-01
  1.33049614e+00 -1.91686288e+00  1.04496210e+00  2.91876879e+00
 -3.72187069e-01 -3.61103675e-01 -1.92713447e+00  8.64821727e-01
  1.80619500e+00  2.75336362e+00 -1.15382922e+00 -3.18043341e-01
 -2.44445010e+00 -2.19352502e+00  3.12959278e+00  2.44198958e+00
 -7.49168171e-01 -2.83481159e+00  1.39713847e+00  1.20226529e-03
 -2.41433267e+00  2.19136977e+00  1.52857805e+00 -6.35280864e-01
  9.40747503e-01 -1.53119999e+00 -4.03449363e-01  2.45772252e+00
 -1.89564120e-02  7.17368129e-01  2.86382439e+00  1.01050975e+00
  3.08031336e+00  2.96704259e+00  2.90599344e+00 -2.81181560e+00
  5.15631818e-02 -3.23958315e-01  1.45966272e+00  2.80676955e+00
 -4.49822000e-01 -2.33359002e+00  2.43140036e+00 -3.06445971e+00
  7.09869792e-01 -6.05744046e-01 -1.86117999e+00  2.67499367e+00
 -1.86065935e+00 -1.63958638e+00 -2.52619781e+00  2.16867905e+00
 -2.24054326e+00  2.18413233e+00  2.20754475e+00  1.68632975e+00
  2.34765192e+00  2.86926886e+00  1.63740516e+00  1.70070822e+00
 -1.92325584e+00 -2.18708618e+00  1.25621414e+00]
Sat Nov 23 15:49:55 2024,1291,0.022201699845731584,[-3.00414831e+00  2.35720408e+00 -2.21302826e+00 -1.59832565e-01
  5.99600911e-01 -2.80033622e+00  3.12177180e+00  2.13847798e+00
  9.83363732e-01 -9.53848636e-01  6.74690636e-01  9.13007280e-01
  1.33192845e+00 -1.91543057e+00  1.04352978e+00  2.92020111e+00
 -3.70754752e-01 -3.62535992e-01 -1.92856679e+00  8.66254045e-01
  1.80476269e+00  2.75479594e+00 -1.15526154e+00 -3.19475659e-01
 -2.44588241e+00 -2.19209270e+00  3.12816046e+00  2.44055726e+00
 -7.47735853e-01 -2.83337927e+00  1.39857078e+00  2.63458325e-03
 -2.41576499e+00  2.19280209e+00  1.52714573e+00 -6.33848547e-01
  9.42179821e-01 -1.52976767e+00 -4.04881681e-01  2.45915484e+00
 -1.75240940e-02  7.18800447e-01  2.86239207e+00  1.00907744e+00
  3.08174568e+00  2.96561028e+00  2.90742575e+00 -2.81038328e+00
  5.29954998e-02 -3.22525997e-01  1.45823040e+00  2.80820187e+00
 -4.51254318e-01 -2.33215770e+00  2.42996804e+00 -3.06589203e+00
  7.08437474e-01 -6.04311728e-01 -1.86261231e+00  2.67642599e+00
 -1.86209167e+00 -1.64101870e+00 -2.52476549e+00  2.16724673e+00
 -2.24197558e+00  2.18270001e+00  2.20897707e+00  1.68489743e+00
  2.34621960e+00  2.87070118e+00  1.63597284e+00  1.69927590e+00
 -1.92182352e+00 -2.18851850e+00  1.25478182e+00]
Sat Nov 23 16:00:53 2024,1292,0.022525317008492703,[-3.00618313  2.35923889 -2.21506307 -0.15779775  0.60163572 -2.79830141
  3.12380661  2.14051279  0.98539854 -0.95588345  0.67265582  0.91097247
  1.33396327 -1.91339575  1.04556459  2.9181663  -0.37278956 -0.3645708
 -1.9306016   0.86828886  1.80272787  2.75276112 -1.15322672 -0.31744085
 -2.4438476  -2.19412751  3.12612565  2.44259207 -0.74570104 -2.83541408
  1.40060559  0.00466939 -2.41373017  2.1948369   1.52511092 -0.63181373
  0.94014501 -1.52773286 -0.40284687  2.46118965 -0.01955891  0.72083526
  2.86035726  1.00704262  3.08378049  2.96764509  2.90539094 -2.80834847
  0.05096069 -0.32049119  1.46026521  2.80616706 -0.44921951 -2.33419251
  2.42793323 -3.06385722  0.70640266 -0.60634654 -1.8605775   2.6784608
 -1.86005686 -1.64305351 -2.52680031  2.16521192 -2.24401039  2.18473482
  2.20694226  1.68693224  2.34825441  2.87273599  1.63393803  1.69724109
 -1.92385833 -2.19055331  1.25274701]
Sat Nov 23 16:11:51 2024,1293,0.022395375623223548,[-3.00668972  2.35974548 -2.21556966 -0.15729116  0.60214232 -2.79779481
  3.12431321  2.1400062   0.98590514 -0.95639004  0.67214923  0.91046587
  1.33345667 -1.91288916  1.045058    2.9176597  -0.37228297 -0.3650774
 -1.93009501  0.86879545  1.80323447  2.75326772 -1.15272013 -0.31794744
 -2.44334101 -2.19362091  3.12663225  2.44309867 -0.74519445 -2.83592068
  1.400099    0.00517599 -2.41322358  2.1943303   1.52460433 -0.63232033
  0.93963841 -1.52722626 -0.40335347  2.46169624 -0.0200655   0.72134186
  2.85985066  1.00754922  3.0832739   2.96713849  2.90589754 -2.80784187
  0.05045409 -0.32099778  1.46077181  2.80566046 -0.4497261  -2.33368592
  2.42843982 -3.06335062  0.70690926 -0.60685314 -1.8600709   2.6789674
 -1.85955026 -1.64356011 -2.5273069   2.16571852 -2.24350379  2.18524142
  2.20643566  1.68743884  2.34876101  2.87324258  1.63444463  1.69774768
 -1.92335173 -2.19105991  1.2532536 ]
Sat Nov 23 16:22:46 2024,1294,0.022382102033042448,[-3.0069879   2.36004366 -2.21586784 -0.15699298  0.60184414 -2.79749663
  3.12401503  2.14030438  0.98620332 -0.95668822  0.67185105  0.91076405
  1.33315849 -1.91318734  1.04535618  2.91736152 -0.37198479 -0.36537558
 -1.92979683  0.86849727  1.80353265  2.7535659  -1.15242195 -0.31824562
 -2.44363919 -2.19391909  3.12693043  2.44339685 -0.74489627 -2.8356225
  1.40039718  0.00487781 -2.41352176  2.19462848  1.52490251 -0.63202215
  0.93993659 -1.52752444 -0.40365165  2.46199442 -0.02036368  0.72104368
  2.85955248  1.00725104  3.08357207  2.96684031  2.90619572 -2.80814005
  0.05015591 -0.3206996   1.46047363  2.80536228 -0.45002428 -2.33338774
  2.42814164 -3.0636488   0.70661108 -0.60715132 -1.85977272  2.67926558
 -1.85984844 -1.64385829 -2.52700872  2.16542034 -2.24380197  2.18494324
  2.20613748  1.68773702  2.34905919  2.8729444   1.63474281  1.6974495
 -1.92305355 -2.19135809  1.25355178]
Sat Nov 23 16:33:38 2024,1295,0.022271975719010545,[-3.00660242  2.36042915 -2.21625333 -0.15660749  0.60145866 -2.79711115
  3.12362955  2.14068986  0.9865888  -0.95707371  0.67223653  0.91037857
  1.33277301 -1.91357282  1.04497069  2.917747   -0.3715993  -0.36576106
 -1.92941134  0.86811179  1.80314717  2.75318042 -1.15280743 -0.31863111
 -2.44402467 -2.19430458  3.12654494  2.44301137 -0.74528175 -2.83600798
  1.40001169  0.00449233 -2.41313627  2.19501396  1.52528799 -0.63240764
  0.94032208 -1.52713896 -0.40403713  2.46160894 -0.02074917  0.72065819
  2.85993797  1.00763653  3.08318659  2.9672258   2.90581023 -2.80852554
  0.0505414  -0.32108509  1.46085912  2.8049768  -0.4496388  -2.33300225
  2.42775616 -3.06326332  0.7062256  -0.60676583 -1.86015821  2.67965106
 -1.85946296 -1.64347281 -2.52662324  2.16503485 -2.24341649  2.18455775
  2.205752    1.6881225   2.3486737   2.87332989  1.63435732  1.69783499
 -1.92343904 -2.19174357  1.25393727]
Sat Nov 23 16:44:32 2024,1296,0.024105872787955923,[-3.01755289  2.34947867 -2.20530285 -0.16755797  0.59050818 -2.78616067
  3.13458002  2.12973939  0.99753928 -0.96802418  0.66128606  0.92132904
  1.32182253 -1.92452329  1.05592117  2.90679653 -0.36064883 -0.37671154
 -1.91846087  0.87906226  1.79219669  2.74222994 -1.14185696 -0.32958158
 -2.45497514 -2.20525505  3.13749542  2.45396184 -0.75623222 -2.82505751
  1.41096217 -0.00645815 -2.4021858   2.20596444  1.51433751 -0.62145716
  0.9293716  -1.53808943 -0.39308666  2.45065847 -0.03169964  0.70970772
  2.84898749  0.99668605  3.07223612  2.97817627  2.89485976 -2.81947601
  0.03959092 -0.31013461  1.44990864  2.79402632 -0.43868832 -2.32205178
  2.41680569 -3.07421379  0.71717607 -0.61771631 -1.84920773  2.66870059
 -1.84851248 -1.65442328 -2.53757371  2.15408438 -2.23246601  2.17360728
  2.21670247  1.69907297  2.35962418  2.88428036  1.62340685  1.68688451
 -1.93438951 -2.20269405  1.26488774]
Sat Nov 23 16:55:26 2024,1297,0.024300583583557463,[-3.01584139  2.34776717 -2.20701436 -0.16584647  0.58879668 -2.78444917
  3.13286852  2.12802788  0.99925078 -0.96631268  0.66299756  0.91961754
  1.32011103 -1.9262348   1.05763267  2.90850803 -0.35893733 -0.37842304
 -1.92017237  0.87735076  1.79048519  2.74051844 -1.14014545 -0.33129308
 -2.45668665 -2.20354355  3.13578391  2.45567334 -0.75452072 -2.82676901
  1.40925067 -0.00816965 -2.4038973   2.20767594  1.51262601 -0.61974566
  0.9276601  -1.53637793 -0.39137515  2.44894696 -0.02998814  0.70799621
  2.84727599  0.99497455  3.07052461  2.97646477  2.89314826 -2.82118751
  0.04130242 -0.30842311  1.45162014  2.79231482 -0.43697682 -2.32376328
  2.41851719 -3.07592529  0.71546457 -0.6160048  -1.84749623  2.67041209
 -1.84680098 -1.65271178 -2.53586221  2.15579588 -2.23417751  2.17189578
  2.21841398  1.70078448  2.36133568  2.88256886  1.62511835  1.68859602
 -1.93610101 -2.20098254  1.26659924]
Sat Nov 23 17:06:18 2024,1298,0.023896328964430093,[-3.0145724   2.34649818 -2.20574537 -0.16457748  0.59006567 -2.78318018
  3.13159953  2.1267589   0.99798179 -0.96758167  0.66172857  0.91834855
  1.32138002 -1.92750379  1.05890166  2.90723904 -0.36020631 -0.37969203
 -1.92144136  0.87608177  1.79175418  2.73924945 -1.14141444 -0.33256207
 -2.45541766 -2.20227456  3.1370529   2.45694233 -0.75578971 -2.828038
  1.40798168 -0.00690066 -2.40262831  2.20894493  1.51135702 -0.61847667
  0.92892909 -1.53510894 -0.39264414  2.44767797 -0.03125713  0.7092652
  2.84854498  0.99370556  3.0717936   2.97773376  2.89441725 -2.8224565
  0.04257141 -0.30715412  1.45288913  2.79104583 -0.43824581 -2.32503227
  2.4172482  -3.0746563   0.71673356 -0.61473581 -1.84622724  2.6691431
 -1.84806997 -1.65398077 -2.5371312   2.15452689 -2.23290853  2.17062679
  2.21968297  1.70205347  2.36006669  2.88383785  1.62638734  1.68986501
 -1.93483202 -2.19971355  1.26786823]
Sat Nov 23 17:17:08 2024,1299,0.024829437157306983,[-3.0144445   2.34662608 -2.20561747 -0.16444958  0.59019357 -2.78305228
  3.13147163  2.12663099  0.99785389 -0.96770957  0.66160067  0.91847645
  1.32125212 -1.92763169  1.05877376  2.90711114 -0.36007841 -0.37981993
 -1.92156926  0.87620967  1.79188208  2.73912155 -1.14154234 -0.33268997
 -2.45554556 -2.20214666  3.1371808   2.45681443 -0.75591761 -2.8281659
  1.40810958 -0.00702856 -2.40275621  2.20907283  1.51148492 -0.61834877
  0.92905699 -1.53498104 -0.39251624  2.44755007 -0.03138503  0.7091373
  2.84867288  0.99357766  3.0719215   2.97760586  2.89428935 -2.8225844
  0.04244351 -0.30728202  1.45276123  2.79117373 -0.43811791 -2.32490437
  2.4173761  -3.0747842   0.71660566 -0.61486372 -1.84635514  2.669271
 -1.84819787 -1.65410867 -2.5370033   2.15465479 -2.23303643  2.17049889
  2.21981087  1.70192557  2.35993879  2.88370995  1.62625944  1.68999291
 -1.93495993 -2.19984145  1.26774033]
Sat Nov 23 17:28:00 2024,1300,0.02411784599772612,[-3.01290437  2.34816621 -2.20407734 -0.1659897   0.58865344 -2.78151216
  3.13301176  2.12817112  0.99631376 -0.96924969  0.66006055  0.92001658
  1.31971199 -1.92917181  1.06031388  2.90865127 -0.35853829 -0.38136006
 -1.92310939  0.8777498   1.79034195  2.74066168 -1.14000222 -0.3342301
 -2.45400543 -2.20060653  3.13872093  2.45835456 -0.75437748 -2.82970602
  1.4096497  -0.00856869 -2.40121609  2.21061296  1.5099448  -0.6198889
  0.93059712 -1.53344092 -0.39097612  2.4490902  -0.0298449   0.70759718
  2.850213    0.99511779  3.07038138  2.97606573  2.89582947 -2.82412453
  0.04090339 -0.30882215  1.45430136  2.7896336  -0.43965804 -2.3264445
  2.41891623 -3.07632433  0.71506553 -0.61332359 -1.84481501  2.67081113
 -1.84665774 -1.65564879 -2.53546317  2.15619492 -2.23457655  2.16895876
  2.21827074  1.70038544  2.35839867  2.88525007  1.62779957  1.69153303
 -1.9334198  -2.19830133  1.26620021]
Sat Nov 23 17:38:56 2024,1301,0.02391473262305233,[-3.01253172  2.34853887 -2.20370468 -0.16561704  0.58828078 -2.78188481
  3.13338441  2.12779846  0.99668642 -0.96887704  0.6604332   0.92038924
