Time,Iteration,Cost,Parameters
Sat Aug 24 23:37:15 2024,162,0.11754588113026339,[-2.82942401  2.2456768  -2.11697378 -0.13479532  0.54693179]
Sat Aug 24 23:38:05 2024,163,0.11239196562992354,[-2.82974383  2.24535698 -2.1172936  -0.1344755   0.54725161]
Sat Aug 24 23:38:54 2024,164,0.11396210729891601,[-2.82868111  2.24429426 -2.11835632 -0.13341278  0.54831434]
Sat Aug 24 23:39:44 2024,165,0.11375049855893918,[-2.82906754  2.24468069 -2.11874276 -0.13302635  0.54870077]
Sat Aug 24 23:40:33 2024,166,0.11831360070756267,[-2.82810057  2.24564767 -2.11970973 -0.13399332  0.5477338 ]
Sat Aug 24 23:41:22 2024,167,0.1159324828055152,[-2.82738797  2.24493507 -2.12042233 -0.13470592  0.5484464 ]
Sat Aug 24 23:42:12 2024,168,0.11566622460948356,[-2.82736148  2.24490858 -2.12039583 -0.13473241  0.54841991]
Sat Aug 24 23:43:02 2024,169,0.11445003201226342,[-2.8271513   2.24469839 -2.12060602 -0.13494259  0.54863009]
Sat Aug 24 23:43:51 2024,170,0.11336160801346137,[-2.82713167  2.24467877 -2.12062564 -0.13492296  0.54864972]
Sat Aug 24 23:44:41 2024,171,0.11730499220144146,[-2.82690673  2.24490371 -2.1204007  -0.13469802  0.54887466]
Sat Aug 24 23:45:30 2024,172,0.11205283694104802,[-2.82696275  2.24495973 -2.12045672 -0.13475404  0.54881864]
Sat Aug 24 23:46:19 2024,173,0.11846684904006417,[-2.82640208  2.24439906 -2.12101739 -0.13419336  0.54825797]
Sat Aug 24 23:47:09 2024,174,0.11183099038527779,[-2.82600524  2.24400222 -2.12062056 -0.13379653  0.54786113]
Sat Aug 24 23:47:59 2024,175,0.11106128494518988,[-2.82587433  2.24387131 -2.12048965 -0.13366562  0.54773022]
Sat Aug 24 23:48:48 2024,176,0.11191488177006567,[-2.82514695  2.24314393 -2.11976227 -0.134393    0.54700284]
Sat Aug 24 23:49:38 2024,177,0.1142722367325515,[-2.82462453  2.24262151 -2.11923985 -0.13387059  0.54648042]
Sat Aug 24 23:50:28 2024,178,0.11329025774539253,[-2.82496842  2.2429654  -2.11958374 -0.1335267   0.54613653]
Sat Aug 24 23:51:17 2024,179,0.11294158640874646,[-2.82491313  2.24291011 -2.11952844 -0.13358199  0.54608124]
Sat Aug 24 23:52:07 2024,180,0.11078195916536396,[-2.8247507   2.24307254 -2.11969087 -0.13374442  0.54591881]
Sat Aug 24 23:52:56 2024,181,0.11606508917310784,[-2.82432001  2.24264185 -2.12012156 -0.13331373  0.54548812]
Sat Aug 24 23:53:46 2024,182,0.11228724951622093,[-2.82375663  2.24320523 -2.12068494 -0.13387712  0.54492474]
Sat Aug 24 23:54:36 2024,183,0.11726590855015392,[-2.82299961  2.24244822 -2.12144196 -0.13463413  0.54416772]
Sat Aug 24 23:55:25 2024,184,0.11254996746950678,[-2.82275258  2.24269524 -2.12119494 -0.13488116  0.5439207 ]
Sat Aug 24 23:56:15 2024,185,0.11715277061042265,[-2.82257339  2.24287444 -2.12137413 -0.13470196  0.5437415 ]
Sat Aug 24 23:57:04 2024,186,0.11567222184767452,[-2.8223505   2.24265155 -2.12159702 -0.13447908  0.54396439]
Sat Aug 24 23:57:54 2024,187,0.11480695965595368,[-2.82226654  2.24273552 -2.12151305 -0.13439511  0.54388042]
Sat Aug 24 23:58:44 2024,188,0.1139575893538304,[-2.82181414  2.24228313 -2.12196545 -0.1348475   0.54342803]
Sat Aug 24 23:59:33 2024,189,0.11682132281156014,[-2.82149707  2.24196605 -2.12228252 -0.13453042  0.54311095]
Sun Aug 25 00:00:23 2024,190,0.11543207958663604,[-2.82199062  2.2424596  -2.12178897 -0.13502397  0.5426174 ]
