Time,Iteration,Cost,Parameters
Sun Aug 25 01:56:12 2024,84,0.34701344130243483,[-2.38340643  2.26633794 -2.05469205 -0.13025697  0.52543161 -2.76608289
  3.00352582  2.27914201  1.18503682 -1.03283442]
Sun Aug 25 01:57:58 2024,85,0.34584831731981,[-2.37452036  2.25745186 -2.04580597 -0.12137089  0.51654553 -2.77496896
  2.99463974  2.27025593  1.1939229  -1.02394834]
Sun Aug 25 01:59:44 2024,86,0.34598467142444994,[-2.36581218  2.26616004 -2.05451415 -0.13007906  0.52525371 -2.76626079
  2.98593157  2.2789641   1.20263107 -1.01524017]
Sun Aug 25 02:01:31 2024,87,0.34419223677939653,[-2.35726313  2.25761099 -2.0459651  -0.12153001  0.53380276 -2.77480984
  2.97738252  2.28751316  1.19408202 -1.02378922]
Sun Aug 25 02:03:17 2024,88,0.3370796046782148,[-2.3486641   2.24901196 -2.03736607 -0.11293098  0.52520373 -2.76621081
  2.96878349  2.27891413  1.20268105 -1.03238825]
Sun Aug 25 02:05:04 2024,89,0.33819299543031434,[-2.3403905   2.24073835 -2.02909246 -0.10465738  0.53347733 -2.75793721
  2.97705709  2.28718773  1.21095466 -1.02411465]
Sun Aug 25 02:06:50 2024,90,0.3371856689380896,[-2.33226168  2.23260953 -2.02096365 -0.09652856  0.54160615 -2.76606603
  2.96892827  2.29531655  1.21908347 -1.01598583]
Sun Aug 25 02:08:37 2024,91,0.3335407715454068,[-2.32387114  2.224219   -2.02935418 -0.1049191   0.53321561 -2.75767549
  2.97731881  2.28692601  1.21069294 -1.00759529]
Sun Aug 25 02:10:23 2024,92,0.3324582927002758,[-2.31529698  2.23279316 -2.03792835 -0.09634494  0.52464145 -2.74910133
  2.98589297  2.29550017  1.2192671  -0.99902113]
Sun Aug 25 02:12:10 2024,93,0.3345980469210839,[-2.30769596  2.22519214 -2.03032732 -0.08874392  0.51704043 -2.7415003
  2.99349399  2.28789915  1.21166608 -0.99142011]
Sun Aug 25 02:13:57 2024,94,0.3298534513959884,[-2.29897898  2.21647515 -2.03904431 -0.0974609   0.52575741 -2.73278332
  2.98477701  2.27918217  1.22038306 -0.98270312]
Sun Aug 25 02:15:43 2024,95,0.3284438540630154,[-2.29024835  2.22520578 -2.04777493 -0.08873028  0.51702678 -2.7240527
  2.99350763  2.28791279  1.21165243 -0.9739725 ]
Sun Aug 25 02:17:30 2024,96,0.32008076491089754,[-2.28110497  2.23434916 -2.03863155 -0.09787365  0.50788341 -2.71490932
  2.98436425  2.27876941  1.22079581 -0.98311588]
Sun Aug 25 02:19:16 2024,97,0.3197229084871115,[-2.2731302   2.22637439 -2.04660632 -0.08989888  0.51585818 -2.72288409
  2.99233903  2.28674418  1.22877058 -0.97514111]
Sun Aug 25 02:21:01 2024,98,0.3158917158548547,[-2.26460235  2.23490224 -2.03807847 -0.08137103  0.50733032 -2.71435624
  2.98381117  2.27821633  1.22024273 -0.96661325]
Sun Aug 25 02:22:48 2024,99,0.31925618671435196,[-2.25612683  2.22642672 -2.02960295 -0.07289551  0.51580584 -2.70588072
  2.97533565  2.26974081  1.21176721 -0.97508877]
Sun Aug 25 02:24:35 2024,100,0.3185735386612048,[-2.24670655  2.235847   -2.03902323 -0.06347523  0.50638556 -2.715301
  2.96591537  2.26032053  1.20234693 -0.98450905]
Sun Aug 25 02:26:22 2024,101,0.3119553286476755,[-2.23804509  2.22718554 -2.04768468 -0.05481377  0.49772411 -2.70663954
  2.97457683  2.26898198  1.21100838 -0.9758476 ]
Sun Aug 25 02:28:09 2024,102,0.31395361364971286,[-2.22979513  2.21893558 -2.05593465 -0.06306374  0.48947414 -2.69838957
  2.96632686  2.26073202  1.20275842 -0.96759763]
Sun Aug 25 02:29:55 2024,103,0.31057137708257626,[-2.22140867  2.21054912 -2.06432111 -0.0714502   0.4978606  -2.70677603
  2.97471332  2.25234556  1.19437196 -0.95921117]
Sun Aug 25 02:31:42 2024,104,0.30541193603011974,[-2.21220473  2.20134518 -2.05511717 -0.08065414  0.50706454 -2.6975721
  2.96550938  2.26154949  1.18516802 -0.95000723]
Sun Aug 25 02:33:27 2024,105,0.303199254772202,[-2.2036345   2.20991541 -2.0636874  -0.07208391  0.51563477 -2.68900187
  2.97407961  2.27011972  1.19373825 -0.95857746]
Sun Aug 25 02:35:14 2024,106,0.2991375671092187,[-2.19567924  2.20196016 -2.05573215 -0.06412865  0.52359003 -2.69695712
  2.96612436  2.26216447  1.185783   -0.95062221]
Sun Aug 25 02:37:01 2024,107,0.30406053155314516,[-2.18791711  2.20972229 -2.06349428 -0.05636652  0.53135216 -2.68919499
  2.97388649  2.25440234  1.17802086 -0.94286008]
