Time,Iteration,Cost,Parameters
Sun Aug 25 01:38:17 2024,153,0.21043369062802889,[-2.44749824  2.22449037 -2.17873145 -0.08160233  0.60719096]
Sun Aug 25 01:39:33 2024,154,0.20652608929061825,[-2.44455239  2.22743622 -2.1757856  -0.08454818  0.61013681]
Sun Aug 25 01:40:46 2024,155,0.2107605346551138,[-2.44133123  2.23065738 -2.17256444 -0.08132702  0.60691565]
Sun Aug 25 01:41:59 2024,156,0.2077580963882134,[-2.43798868  2.22731483 -2.16922189 -0.07798447  0.6102582 ]
Sun Aug 25 01:43:11 2024,157,0.21331219631280512,[-2.43468038  2.22400652 -2.1725302  -0.07467617  0.6069499 ]
Sun Aug 25 01:44:26 2024,158,0.21197957302110945,[-2.43156983  2.22711707 -2.16941965 -0.07778671  0.61006044]
Sun Aug 25 01:45:43 2024,159,0.20828004527420588,[-2.42814366  2.23054324 -2.16599348 -0.07436054  0.60663427]
Sun Aug 25 01:46:58 2024,160,0.20368248412412387,[-2.4256245   2.2330624  -2.16347432 -0.07184137  0.6041151 ]
Sun Aug 25 01:48:15 2024,161,0.21272080009256095,[-2.42307749  2.2305154  -2.16092731 -0.07438837  0.6015681 ]
Sun Aug 25 01:49:28 2024,162,0.20953554197662394,[-2.41994841  2.23364449 -2.15779823 -0.07751746  0.59843901]
Sun Aug 25 01:50:43 2024,163,0.20358572326213442,[-2.41748262  2.23611028 -2.15533244 -0.07505167  0.6009048 ]
Sun Aug 25 01:51:55 2024,164,0.20909279338678766,[-2.41476136  2.23338902 -2.15261118 -0.07777292  0.59818355]
Sun Aug 25 01:53:10 2024,165,0.20881383066988343,[-2.41152712  2.23662326 -2.15584541 -0.07453869  0.59494931]
Sun Aug 25 01:54:22 2024,166,0.2078732623176021,[-2.40855475  2.23365088 -2.15287303 -0.07156631  0.59792169]
Sun Aug 25 01:55:35 2024,167,0.21100074022013948,[-2.40617513  2.2360305  -2.15525265 -0.06918669  0.60030131]
Sun Aug 25 01:56:47 2024,168,0.20614083342666892,[-2.40327859  2.23313396 -2.1581492  -0.07208324  0.60319785]
Sun Aug 25 01:58:00 2024,169,0.20670008806788992,[-2.40108148  2.23533106 -2.1603463  -0.06988613  0.60100075]
Sun Aug 25 01:59:12 2024,170,0.2061401651139957,[-2.39827185  2.23814069 -2.15753667 -0.0670765   0.60381038]
Sun Aug 25 02:00:25 2024,171,0.201201071131068,[-2.39509206  2.24132048 -2.15435689 -0.07025629  0.60063059]
Sun Aug 25 02:01:38 2024,172,0.20884612806647457,[-2.3922782   2.24413434 -2.15717075 -0.07307015  0.60344446]
Sun Aug 25 02:02:50 2024,173,0.20521318993968193,[-2.38968274  2.24153889 -2.1545753  -0.07047469  0.600849  ]
Sun Aug 25 02:04:04 2024,174,0.1997431281903595,[-2.3864032   2.23825935 -2.15129576 -0.07375423  0.59756946]
Sun Aug 25 02:05:19 2024,175,0.20245178319386553,[-2.38296282  2.23481897 -2.15473614 -0.07719461  0.60100985]
Sun Aug 25 02:06:32 2024,176,0.20557525309963728,[-2.37982479  2.237957   -2.15787418 -0.08033265  0.60414788]
Sun Aug 25 02:07:46 2024,177,0.20370461199077894,[-2.37718726  2.24059452 -2.15523665 -0.08297017  0.60151035]
Sun Aug 25 02:08:59 2024,178,0.20393191714407588,[-2.37479423  2.23820149 -2.15762968 -0.08057714  0.60390338]
Sun Aug 25 02:10:13 2024,179,0.20275596508257537,[-2.37165067  2.24134506 -2.16077324 -0.07743358  0.60075982]
Sun Aug 25 02:11:27 2024,180,0.20405720785074596,[-2.36852347  2.24447225 -2.16390044 -0.08056078  0.60388702]
Sun Aug 25 02:12:40 2024,181,0.20228222294009174,[-2.36612884  2.24686689 -2.16150581 -0.08295541  0.60628165]
Sun Aug 25 02:13:52 2024,182,0.20427614551035828,[-2.36337107  2.24410912 -2.15874804 -0.08571318  0.60352389]
Sun Aug 25 02:15:05 2024,183,0.2010993760925961,[-2.36006094  2.24079899 -2.15543791 -0.08240304  0.60683402]
Sun Aug 25 02:16:18 2024,184,0.2074989890628386,[-2.35725979  2.24360013 -2.15823905 -0.0796019   0.60963517]
Sun Aug 25 02:17:31 2024,185,0.2020476662552649,[-2.35421306  2.24664686 -2.16128578 -0.08264863  0.6126819 ]
Sun Aug 25 02:18:43 2024,186,0.20135395216630123,[-2.3515891   2.24927082 -2.15866183 -0.08527258  0.61005794]
Sun Aug 25 02:19:57 2024,187,0.19570047076826227,[-2.3487506   2.25210932 -2.15582333 -0.08811109  0.60721944]
Sun Aug 25 02:21:10 2024,188,0.1995299493202093,[-2.34641543  2.24977415 -2.1581585  -0.08577591  0.60955461]
